ISO,PIB_2021
ABW,272000610793969
AFG,356496214115892
AGO,192587466082167
ALB,641328280828537
AND,424256996756291
ARB,668170895180141
ARE,433600211001327
ARG,107380179223384
ARM,468517997128509
ASM,152361604875571
ATG,173486006987182
AUS,606077788605166
AUT,536487190742245
AZE,540804535175023
BDI,214091455416133
BEL,51658238294958
BEN,131865158107487
BFA,895535288442991
BGD,248284917843357
BGR,129722173356002
BHR,271478083882286
BHS,303678605757708
BIH,72953438240957
BLR,748971894713888
BLZ,612261158580079
BMU,11276508167306
BOL,338484486462654
BRA,79725366498646
BRB,186967858952957
BRN,310069636220576
BTN,357061257980872
BWA,780788794500125
CAF,492263142830507
CAN,528866616372703
CEB,192398185020397
CHE,936647736696111
CHI,669121753241171
CHL,162068325493421
CHN,128874357242941
CIV,245598127626488
CMR,167232657340872
COD,558034077296358
COG,251616255145432
COL,622262164397614
COM,158772988601478
CPV,397144409203423
CRI,128381185359009
CSS,138333099303464
CUW,179799982909306
CYM,86438445257404
CYP,3373403515625
CZE,276964619527544
DEU,522656541620571
DJI,302591126413549
DMA,837640414141113
DNK,697279873677012
DOM,85270754858205
DZA,416055926736925
EAP,997463640001599
EAR,376551079786712
EAS,132827636699758
ECA,662335137698536
ECS,275914108786977
ECU,606132350181711
EGY,382735415374308
EMU,429672551656434
ESP,307994775937775
EST,279537670230126
ETH,910947887074508
EUU,392143660784805
FCS,176384589367628
FIN,530991351400148
FJI,469617103944634
FRA,437250999521245
FRO,687494005557957
FSM,350822356270221
GAB,818140914134398
GBR,46926475736105
GEO,508360695484577
GHA,244518662529344
GIN,124496550477914
GMB,781890925169531
GNB,912484104692847
GNQ,694563069794539
GRC,206547001960815
GRD,962224050459345
GRL,581359939910203
GTM,491262225721201
GUM,380748793745801
GUY,986087014834386
HIC,452119410454248
HKG,497705642374739
HND,273514751503977
HPC,104999987506014
HRV,177899304736722
HTI,183544394078496
HUN,19030628130329
IBD,73661147382175
IBT,576425548879942
IDA,146504691576142
IDB,185719734593257
IDN,428717313995098
IDX,125409572124934
IMN,94299969348965
IND,223961384367482
IRL,103961976350649
IRN,433479268631354
IRQ,486849431080783
ISL,691784046960961
ISR,522709040241956
ITA,368525425414951
JAM,516533782130331
JOR,418349998326866
JPN,400945599795288
KAZ,998360103576902
KEN,206135622089594
KGZ,134999730650542
KHM,216740324198499
KIR,222204829512346
KNA,183611449697886
KOR,351255224984723
KWT,340186342879647
LAC,795536133413771
LAO,252605105018529
LBN,404537391066234
LBR,66796610514319
LBY,493582787349801
LCA,104591321248092
LCN,859753194021339
LDC,1161529354921
LIC,643369305022958
LIE,201944830335076
LKA,399696240014909
LMC,230244736874388
LMY,548592472057214
LSO,106658643600093
LTE,117554245358535
LTU,238704594851722
LUX,134965815442152
LVA,202618887788916
MAC,45376314586156
MAF,216683740927942
MAR,378593627929688
MCO,223823363960226
MDA,527460582195352
MDG,483469463351371
MDV,10176143882547
MEA,557527298626728
MEX,103140506725979
MHL,625861193705127
MIC,59660001578766
MKD,762080296977508
MLI,102727345365357
MLT,38065354346575
MMR,124272134419599
MNA,271953126773593
MNE,937748879714989
MNG,451761578018785
MNP,1945550139424
MOZ,509907829475551
MRT,194778918383313
MUS,906897300226707
MWI,617447520802454
MYS,109031116425938
NAC,694129137512303
NAM,44128355693052
NCL,353115543551452
NER,608722439593808
NGA,201727486481527
NIC,213838588469449
NLD,601419880911492
NOR,930728925119571
NPL,125275076731986
NRU,149896647450751
NZL,49689498134519
OED,431496072484462
OMN,194034600160211
OSS,13671456548983
PAK,145531922370186
PAN,155098069109784
PER,682620255614477
PHL,348438593882819
PLW,132572063206433
PNG,260757861874444
POL,186355088812509
PRE,141270908920903
PRI,326190704601174
PRT,247114510062111
PRY,59769317978996
PSE,367863565662194
PSS,364953388709298
PST,500220389228787
PYF,219829038942614
QAT,717518831257169
ROU,149867854904274
RUS,12425029296875
RWA,829544845639777
SAS,227372055798689
SAU,319207653655643
SDN,712122009277344
SEN,159810676952274
SGP,800561288247844
SLB,199686976779348
SLE,886192939104469
SLV,464260743101342
SMR,541689828262684
SOM,549114742721701
SRB,968052798074468
SSA,170042199943914
SSF,162110097013513
SST,123690639776112
STP,236258827248102
SUR,502984838543953
SVK,221324483028948
SVN,29187369382785
SWE,611749680215622
SWZ,396629863253832
SXM,325484366854902
SYC,149829111487767
SYR,663614245706815
TCA,273292885087196
TCD,946358500208374
TEA,100864785164265
TEC,998798864443054
TGO,939613373786407
THA,705720754802279
TJK,896748053372182
TKM,705120211079213
TLA,838242554035091
TLS,268482702378987
TMN,271278189413176
TON,491257966349119
TSA,227372055798689
TSS,162110097013513
TTO,176791812561341
TUN,390693926319391
TUR,974321277804855
TUV,590508198095343
TZA,115985656738281
UGA,882791717442001
UKR,477594580078125
UMC,990505583452615
URY,17881818721099
USA,713074017277218
UZB,225851964119278
VCT,864127904024443
VIR,425710777368471
VNM,37041935590038
VUT,321171947349318
WLD,124185659245064
WSM,394764517905415
XKX,527042965289833
YEM,522173511689783
ZAF,684339941886204
ZMB,112716077872857
ZWE,172438727102272
